StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timerPassage_First Click,timerPassage_Last Click,timerPassage_Page Submit,timerPassage_Click Count,S1Q1,S1Q2,S1Q3,S1Q4,S1Q5,S1Q6,S1Q7,S1Q8,S1Q9,S1Q10,S1Understand_1,S1Minutes,S1Interest_1,S1Knowledge_1,S1Progress,S2Understand_1,S2Interest_1,S2Knowledge_1,S2Progress,S2Q1a,S2Q2a,S2Q3a,S2Q4a,S2Q5a,S2Q6a,S2Q7a,S2Q8a,S2Q9a,S2Q10a,S2Q1b,S2Q2b,S2Q3b,S2Q4b,S2Q5b,S2Q6b,S2Q7b,S2Q8b,S2Q9b,S2Q10b,SC0,SC1,SC2,Group
3/13/2019 7:51,3/13/2019 7:56,0,99.203.11.180,100,317,1,3/13/2019 7:57,R_OMQGQEEtMJpt0o9,,,,,33.9992981,-118.2868042,anonymous,EN,1.804,127.671,129.415,36,,,,,,,,,,,,,,,,24,99,25,1,,,,2,4,,,3,1,1,3,3,4,,,4,2,,,,0,2,1,PostFeed
3/13/2019 7:53,3/13/2019 7:59,0,75.44.32.180,100,378,1,3/13/2019 7:59,R_334sU6XVETrPpyx,,,,,43.15939331,-88.03269958,anonymous,EN,82.226,100.76,161.186,3,,,,,,,,,,,,,,,,90,100,60,1,,2,,2,,,2,,4,1,2,,1,,1,3,,1,,,0,5,4,PreTest
3/13/2019 7:55,3/13/2019 8:00,0,138.162.0.42,100,278,1,3/13/2019 8:00,R_BxfMD0d1dAqPdol,,,,,36.79690552,-76.17970276,anonymous,EN,3.604,3.604,59.897,1,,,,,,,,,,,,,,,,85,65,50,2,,,4,2,2,3,2,,,,2,2,,,,,,2,4,1,0,3,5,PostTest
3/13/2019 7:59,3/13/2019 8:07,0,216.36.11.149,100,495,1,3/13/2019 8:07,R_2UfnvqDAwKeJkZu,,,,,38.24949646,-76.45290375,anonymous,EN,4.107,21.262,116.499,4,,,,,,,,,,,,,,,,65,80,50,1,,,,,2,,2,4,4,1,3,2,1,2,,2,,,,,0,3,3,PostFeed
3/13/2019 8:03,3/13/2019 8:11,0,96.33.86.171,100,500,1,3/13/2019 8:11,R_2e8f1X2LhLDg5Rh,,,,,34.75180054,-82.25559998,anonymous,EN,5.095,227.195,230.659,5,2,2,1,2,1,2,2,2,4,1,100,5,100,50,1,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,FT
3/13/2019 8:05,3/13/2019 8:11,0,24.63.189.36,100,400,1,3/13/2019 8:11,R_2dXVhqSgsJ2VbDH,,,,,42.4125061,-71.00340271,anonymous,EN,0,0,164.566,0,2,3,1,2,2,4,2,2,4,3,85,5,78,21,1,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,Control
3/13/2019 8:10,3/13/2019 8:17,0,73.199.214.177,100,466,1,3/13/2019 8:17,R_1i8rQUfHnVKJ4Ah,,,,,39.70500183,-74.26039886,anonymous,EN,200.53,200.53,202.374,1,3,3,1,2,2,4,2,2,4,1,85,3,95,65,2,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,Down2
3/13/2019 8:08,3/13/2019 8:17,0,64.26.99.248,100,571,1,3/13/2019 8:17,R_bOR2aPoQeJU1JT3,,,,,39.08279419,-77.16739655,anonymous,EN,0,0,303.136,0,,,,,,,,,,,,,,,,62,82,20,1,,,4,2,,2,,,4,1,2,3,,,2,,2,2,,,0,3,3,PostTest
3/13/2019 8:25,3/13/2019 8:30,0,162.236.216.221,100,293,1,3/13/2019 8:30,R_3kERM6Z8l6pNQBH,,,,,32.5316925,-92.1760025,anonymous,EN,100.52,102.199,103.5,2,,,,,,,,,,,,,,,,94,88,34,2,,2,4,2,2,,,2,,,2,,,,,2,1,,4,1,0,3,3,PreTest
3/13/2019 8:26,3/13/2019 8:34,0,73.160.101.108,100,496,1,3/13/2019 8:34,R_1Qz5HZEKUaZfR8W,,,,,39.58810425,-74.36460114,anonymous,EN,78.472,87.083,90.201,4,2,2,4,2,2,2,1,2,4,1,75,6,100,30,1,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,Up2
3/13/2019 9:22,3/13/2019 9:22,0,68.191.33.60,100,15,1,3/13/2019 9:22,R_2Xck8gNt6pDTOnI,,,,,41.33120728,-73.22429657,anonymous,EN,0,0,1.359,0,,,,,,,,,,,,,,,,50,20,89,2,,4,,,,4,,3,2,2,4,,3,2,4,,3,,,,0,0,1,PostTest
3/13/2019 9:22,3/13/2019 9:23,0,38.99.18.163,100,37,1,3/13/2019 9:23,R_12mxrd2siBwIUpA,,,,,37.38929749,-122.0783005,anonymous,EN,0,0,1.811,0,,,,,,,,,,,,,,,,17,25,18,2,2,,2,2,,2,,,,2,,3,,,1,,3,1,3,,0,2,1,PostFeed
3/13/2019 9:22,3/13/2019 9:23,0,198.27.175.244,100,55,1,3/13/2019 9:23,R_6KG6k08dhuu0Q2R,,,,,37.75619507,-122.4866028,anonymous,EN,1.1,1.1,8.017,1,2,3,2,2,3,3,1,3,3,2,12,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Up2
3/13/2019 9:23,3/13/2019 9:24,0,38.99.18.163,100,38,1,3/13/2019 9:24,R_qL34yQkfhsluiLn,,,,,37.38929749,-122.0783005,anonymous,EN,0,0,2.314,0,,,,,,,,,,,,,,,,32,30,20,2,,3,2,2,,,2,,,2,4,,,,1,3,,1,1,,0,2,2,PreTest
3/13/2019 9:22,3/13/2019 9:24,0,132.194.13.136,100,87,1,3/13/2019 9:24,R_3EWiEGAUI8e7o7q,,,,,39.73510742,-105.0269012,anonymous,EN,0,0,28.092,0,2,2,2,3,2,2,3,3,3,3,78,6,69,73,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,Down2
3/13/2019 9:22,3/13/2019 9:24,0,104.129.196.210,100,100,1,3/13/2019 9:24,R_25KJRa9mTibcI5d,,,,,37.75100708,-97.8219986,anonymous,EN,0,0,19.338,0,,,,,,,,,,,,,,,,19,0,35,1,,3,,2,,4,,4,,2,1,,2,,4,,2,,2,,0,1,1,PreTest
3/13/2019 9:23,3/13/2019 9:24,0,170.83.232.3,100,80,1,3/13/2019 9:24,R_z7jv8eSLPCzPeJH,,,,,15,-86.5,anonymous,EN,0,0,12.181,0,,,,,,,,,,,,,,,,92,91,88,1,2,,2,3,,,1,1,,,,4,,,3,3,,,2,1,0,1,2,PreTest
3/13/2019 9:23,3/13/2019 9:24,0,68.96.169.162,100,57,1,3/13/2019 9:24,R_umLsiN8ljgmHxaF,,,,,36.19619751,-115.263298,anonymous,EN,0,0,28.543,0,,,,,,,,,,,,,,,,34,29,41,1,2,3,,,,,,2,3,2,,,2,2,2,2,2,,,,0,2,2,PostFeed
3/13/2019 9:22,3/13/2019 9:25,0,67.246.89.139,100,145,1,3/13/2019 9:25,R_2OORQXIB9WBnpjo,,,,,43.32110596,-76.40339661,anonymous,EN,55.41,59.066,59.103,3,2,2,4,2,1,4,3,4,4,1,67,2,58,4,2,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,FT
3/13/2019 9:22,3/13/2019 9:25,0,73.247.140.237,100,160,1,3/13/2019 9:25,R_2eQgsKr23SEAlGt,,,,,42.29910278,-89.6344986,anonymous,EN,0,0,32.903,0,,,,,,,,,,,,,,,,81,81,81,1,3,,4,4,,,1,,4,,,1,,,1,2,,1,,2,0,1,1,PostTest
3/13/2019 9:22,3/13/2019 9:25,0,72.211.211.69,100,178,1,3/13/2019 9:25,R_1psoWX6v2HA5Qxc,,,,,33.62449646,-117.7939987,anonymous,EN,0,0,66.15,0,,,,,,,,,,,,,,,,69,30,23,2,2,2,4,,,2,,,4,,,,,4,2,,1,2,,1,0,3,2,PostFeed
3/13/2019 9:22,3/13/2019 9:25,0,174.126.135.169,100,159,1,3/13/2019 9:25,R_3IZ5CT97ufuR15o,,,,,34.60189819,-112.3264008,anonymous,EN,36.191,36.191,36.579,1,2,2,2,2,1,4,3,1,1,1,60,2,100,0,2,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,Control
3/13/2019 9:22,3/13/2019 9:25,0,68.44.129.34,100,197,1,3/13/2019 9:25,R_3g104oM03Gh9jj0,,,,,40.13090515,-85.6536026,anonymous,EN,0,0,63.073,0,,,,,,,,,,,,,,,,57,25,16,1,,,,2,2,4,,2,4,,2,2,1,,,,3,,,2,0,3,3,PostTest
3/13/2019 9:22,3/13/2019 9:25,0,167.177.39.8,100,180,1,3/13/2019 9:25,R_1IviEsTK2LQ87bI,,,,,44.96090698,-93.2641983,anonymous,EN,0,0,4.513,0,,,,,,,,,,,,,,,,86,81,93,1,,,2,2,2,,,,3,2,3,2,,,,2,3,3,,,0,1,1,PostFeed
3/13/2019 9:23,3/13/2019 9:25,0,184.89.72.123,100,121,1,3/13/2019 9:25,R_2wFdm36Vm0MxdbL,,,,,28.01600647,-80.67269897,anonymous,EN,0,0,24.525,0,,,,,,,,,,,,,,,,100,100,100,2,3,,3,4,,,1,,1,,,3,,,2,4,,2,,2,0,0,1,PreTest
3/13/2019 9:22,3/13/2019 9:25,0,72.209.17.198,100,210,1,3/13/2019 9:25,R_dccwMjVeCDOclI5,,,,,41.7776947,-72.5243988,anonymous,EN,1.123,11.406,99.38,7,3,3,4,2,2,2,2,4,4,2,56,5,31,13,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Control
3/13/2019 9:24,3/13/2019 9:25,0,74.98.164.144,100,67,1,3/13/2019 9:25,R_1o1M8oreYeN0GUy,,,,,36.86950684,-76.38690186,anonymous,EN,0,0,3.682,0,2,3,3,2,2,3,2,3,2,3,67,10,62,66,1,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,FT
3/13/2019 9:22,3/13/2019 9:25,0,104.174.95.139,100,210,1,3/13/2019 9:25,R_1KoKvg6givu2yec,,,,,33.84599304,-118.3455963,anonymous,EN,17.158,49.537,51.486,38,3,3,4,2,2,2,3,2,4,2,71,5,81,65,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,FT
3/13/2019 9:22,3/13/2019 9:25,0,73.51.175.13,100,188,1,3/13/2019 9:25,R_DMMKSuoblTmku5j,,,,,41.89570618,-87.9434967,anonymous,EN,0,0,62.25,0,2,3,1,2,1,4,2,2,4,2,39,3,24,11,1,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,FT
3/13/2019 9:22,3/13/2019 9:25,0,66.91.211.85,100,185,1,3/13/2019 9:25,R_1Q0HGELJQfLMIEO,,,,,21.28109741,-157.8265991,anonymous,EN,0,0,76.261,0,,,,,,,,,,,,,,,,36,28,0,2,,2,1,,4,,,2,,2,2,,,4,,2,3,,1,,0,3,1,PreTest
3/13/2019 9:22,3/13/2019 9:25,0,73.173.103.253,100,208,1,3/13/2019 9:25,R_3rTkAVFmRbecdPU,,,,,39.21240234,-76.87760162,anonymous,EN,1.429,3.562,92.201,2,,,,,,,,,,,,,,,,80,20,5,2,2,,4,2,2,,,,,1,,3,,,,2,3,2,4,,0,3,2,PostFeed
3/13/2019 9:22,3/13/2019 9:26,0,18.223.143.247,100,213,1,3/13/2019 9:26,R_25KQIiOGBJexh7r,,,,,39.96530151,-83.02349854,anonymous,EN,0,0,74.199,0,,,,,,,,,,,,,,,,66,74,36,2,,4,4,,4,4,2,,,,1,,,2,,,,4,3,3,0,1,1,PostFeed
3/13/2019 9:22,3/13/2019 9:25,0,67.163.202.196,100,195,1,3/13/2019 9:26,R_3GkTpLFXFeXtyn2,,,,,39.65049744,-79.94400024,anonymous,EN,0,0,75.717,0,,,,,,,,,,,,,,,,74,61,62,2,2,,4,2,,4,2,,,,,2,,,1,,,2,4,2,0,3,4,PostTest
3/13/2019 9:22,3/13/2019 9:26,0,107.146.243.120,100,224,1,3/13/2019 9:26,R_SQ63ouCrQPp8HKx,,,,,35.34069824,-119.0596008,anonymous,EN,0,0,30.151,0,3,3,3,2,1,2,3,1,1,2,82,5,60,18,2,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,Down2
3/13/2019 9:22,3/13/2019 9:26,0,74.221.181.230,100,207,1,3/13/2019 9:26,R_2VjzDxBacn69EPC,,,,,35.15910339,-85.21820068,anonymous,EN,2.883,2.883,74.953,1,,,,,,,,,,,,,,,,59,87,63,1,2,,,2,2,,,,4,1,,1,4,,,2,3,2,,,0,4,1,PostTest
3/13/2019 9:22,3/13/2019 9:26,0,67.61.187.126,100,248,1,3/13/2019 9:26,R_2QyP8a6B1crdo6c,,,,,43.55180359,-111.8918991,anonymous,EN,0,0,110.737,0,,,,,,,,,,,,,,,,55,23,9,1,,2,4,,,3,,2,,1,2,,,2,2,,2,,4,,0,4,4,PostTest
3/13/2019 9:22,3/13/2019 9:26,0,97.94.67.192,100,212,1,3/13/2019 9:26,R_RaynCIv20jDSsHD,,,,,43.17930603,-85.24970245,anonymous,EN,0,0,91.009,0,,,,,,,,,,,,,,,,65,80,70,1,,,4,,1,4,,,4,2,3,2,,3,,,2,4,,,0,2,2,PostTest
3/13/2019 9:22,3/13/2019 9:26,0,198.190.25.4,100,217,1,3/13/2019 9:26,R_3lS4P8OapMLQwSz,,,,,35.68170166,-80.56150055,anonymous,EN,0,0,75.22,0,,,,,,,,,,,,,,,,70,91,64,1,,2,,2,,,,4,4,1,2,,4,,2,2,2,,,,0,4,2,PreTest
3/13/2019 9:23,3/13/2019 9:26,0,108.39.193.42,100,159,1,3/13/2019 9:26,R_1lmAtckAoKlgPGm,,,,,40.42900085,-79.76229858,anonymous,EN,0,0,52.266,0,2,1,3,2,4,2,3,3,1,2,18,2,41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,Down2
3/13/2019 9:24,3/13/2019 9:26,0,32.215.211.241,100,146,1,3/13/2019 9:26,R_xx9RGMrI4ogY1hv,,,,,41.92520142,-73.06629944,anonymous,EN,0,0,3.788,0,4,1,2,2,1,4,2,4,1,3,72,5,50,20,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Up2
3/13/2019 9:22,3/13/2019 9:26,0,70.166.234.54,100,208,1,3/13/2019 9:26,R_1z5kHJrwif4RN1D,,,,,37.70509338,-97.31330109,anonymous,EN,0,0,47.138,0,2,3,4,4,1,4,2,2,4,3,65,5,31,25,2,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,Control
3/13/2019 9:22,3/13/2019 9:26,0,66.24.204.51,100,259,1,3/13/2019 9:26,R_27egDhUkeebNIWU,,,,,43.18339539,-77.60430145,anonymous,EN,16.234,116.325,117.551,5,2,3,4,2,2,3,2,2,4,1,85,4,63,41,2,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,Control
3/13/2019 9:25,3/13/2019 9:26,0,74.98.164.144,100,48,1,3/13/2019 9:26,R_3fZW7I10domlXkE,,,,,36.86950684,-76.38690186,anonymous,EN,0,0,3.084,0,2,3,2,3,2,3,2,3,2,3,72,10,66,82,1,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Control
3/13/2019 9:22,3/13/2019 9:26,0,68.231.28.144,100,240,1,3/13/2019 9:26,R_To7IenTy7E9uKyd,,,,,32.99690247,-111.3611984,anonymous,EN,0,0,69.163,0,,,,,,,,,,,,,,,,65,73,3,2,,,3,,,,2,2,4,1,2,2,,2,2,2,,,,,0,4,3,PostTest
3/13/2019 9:22,3/13/2019 9:26,0,4.30.115.244,100,261,1,3/13/2019 9:26,R_ZdHsDxMGJnh4hMJ,,,,,44.93249512,-93.08799744,anonymous,EN,1.083,108.107,109.534,94,,,,,,,,,,,,,,,,84,78,55,2,,2,,2,,,2,2,4,,2,,2,,2,4,,,,2,0,5,1,PostFeed
3/13/2019 9:22,3/13/2019 9:26,0,173.91.17.128,100,256,1,3/13/2019 9:26,R_3KuQqDDvHISBF7z,,,,,41.49510193,-81.46569824,anonymous,EN,0,0,101.207,0,,,,,,,,,,,,,,,,72,100,71,1,2,3,,,,2,2,,,1,,,4,2,2,,,2,4,,0,3,3,PostFeed
3/13/2019 9:22,3/13/2019 9:26,0,65.241.224.10,100,274,1,3/13/2019 9:26,R_22E5c9ViLcZcC3Z,,,,,42.46040344,-83.45770264,anonymous,EN,97.352,97.352,137.311,1,,,,,,,,,,,,,,,,40,62,63,2,2,3,4,,2,,1,,,,,,,2,,2,,4,4,3,0,1,2,PreTest
3/13/2019 9:23,3/13/2019 9:27,0,24.161.5.204,100,222,1,3/13/2019 9:27,R_3QYP5CqTqwbLYfa,,,,,41.79620361,-74.74839783,anonymous,EN,0,0,98.528,0,,,,,,,,,,,,,,,,72,76,68,2,,,2,,1,,3,,4,2,2,3,,4,,3,,4,,,0,2,2,PostTest
3/13/2019 9:24,3/13/2019 9:26,0,24.235.79.230,100,171,1,3/13/2019 9:27,R_3OkPIcBS2hxrIvP,,,,,42.96270752,-72.29550171,anonymous,EN,3.764,42.528,43.901,19,,,,,,,,,,,,,,,,0,0,31,2,2,,,1,,2,,,4,1,,4,2,,2,,4,4,,,0,3,0,PostFeed
3/13/2019 9:22,3/13/2019 9:27,0,172.7.244.112,100,259,1,3/13/2019 9:27,R_1lp2Ga9MITGrMje,,,,,32.88760376,-97.21320343,anonymous,EN,0,0,62.498,0,,,,,,,,,,,,,,,,19,14,13,2,2,1,2,2,,4,,,,,,,,,4,,1,2,1,1,0,2,2,PostTest
3/13/2019 9:22,3/13/2019 9:27,0,209.136.123.151,100,272,1,3/13/2019 9:27,R_bIaOpdilj7kp1TP,,,,,30.20089722,-93.4437027,anonymous,EN,4.735,43.854,48.377,9,3,2,2,2,4,2,1,3,4,1,12,3,52,28,1,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,FT
3/13/2019 9:23,3/13/2019 9:27,0,73.197.219.13,100,209,1,3/13/2019 9:27,R_STuTx94KCimxmmt,,,,,40.71800232,-74.07330322,anonymous,EN,0,0,3.259,0,,,,,,,,,,,,,,,,61,32,34,1,2,,4,2,2,,,2,,,,2,,,,2,3,,4,1,0,3,3,PostFeed
3/13/2019 9:22,3/13/2019 9:27,0,71.209.153.149,100,262,1,3/13/2019 9:27,R_sSAYZ2tE8inEchz,,,,,33.62620544,-112.0074005,anonymous,EN,0,0,25.97,0,,,,,,,,,,,,,,,,81,100,96,1,2,2,,2,,,,2,1,,,,4,,2,2,3,,,3,0,4,0,PostTest
3/13/2019 9:26,3/13/2019 9:27,0,68.191.144.87,100,27,1,3/13/2019 9:27,R_1dhGHeD19zXzAZi,,,,,45.18139648,-93.8635025,anonymous,EN,0,0,2.11,0,,,,,,,,,,,,,,,,24,57,45,2,,,3,4,1,3,,,,1,2,2,,,,,1,3,1,,0,3,2,PreTest
3/13/2019 9:22,3/13/2019 9:27,0,192.24.181.226,100,261,1,3/13/2019 9:27,R_1LG5OBb7lLRGPuC,,,,,39.07080078,-84.52120209,anonymous,EN,4.706,101.224,110.935,16,2,4,3,2,2,4,2,2,4,3,40,5,14,6,2,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,Down2
3/13/2019 9:22,3/13/2019 9:27,0,38.100.151.206,100,301,1,3/13/2019 9:27,R_3ma8oWrITdwaIrZ,,,,,29.75019836,-95.47100067,anonymous,EN,3.407,41.272,89.506,3,,,,,,,,,,,,,,,,80,30,16,2,2,,,2,,3,,2,3,,,1,2,,2,,2,,,3,0,4,1,PostTest
3/13/2019 9:22,3/13/2019 9:27,0,174.56.169.58,100,270,1,3/13/2019 9:27,R_T0pwg9Cla9Uzz6p,,,,,32.01750183,-80.99700165,anonymous,EN,83.792,91.08,97.383,3,,,,,,,,,,,,,,,,80,90,20,1,2,,4,2,2,,2,,,,,2,,,,2,,2,4,2,0,3,3,PostFeed
3/13/2019 9:22,3/13/2019 9:27,0,73.119.218.69,100,285,1,3/13/2019 9:27,R_sk5UY3EBoO2VMxb,,,,,43.0072937,-71.44819641,anonymous,EN,0,0,117.559,0,2,2,4,2,2,4,2,2,4,2,60,4,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,FT
3/13/2019 9:23,3/13/2019 9:27,0,98.214.237.154,100,258,1,3/13/2019 9:27,R_3qFNUlY1IUz8JpL,,,,,39.85830688,-88.9382019,anonymous,EN,0,0,52.783,0,3,2,4,2,2,4,3,2,4,1,86,3,62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,FT
3/13/2019 9:25,3/13/2019 9:27,0,97.124.179.161,100,76,1,3/13/2019 9:27,R_2rZwhaRUinCJtIn,,,,,33.59820557,-112.3723984,anonymous,EN,0,0,6.998,0,,,,,,,,,,,,,,,,64,58,37,2,,3,2,,3,,1,,1,,4,,,1,,2,,2,,3,0,0,1,PostTest
3/13/2019 9:25,3/13/2019 9:27,0,66.63.118.178,100,143,1,3/13/2019 9:27,R_1Iaw9o2XItY7J1e,,,,,45.65960693,-68.71009827,anonymous,EN,4.4,14.056,22.305,8,,,,,,,,,,,,,,,,77,85,83,1,,4,4,3,,,,4,3,,2,,,,2,4,2,,,3,0,0,2,PostTest
3/13/2019 9:22,3/13/2019 9:27,0,174.220.25.200,100,294,1,3/13/2019 9:27,R_20SDLJiHqGPU8BP,,,,,41.70350647,-73.91169739,anonymous,EN,0,0,120.301,0,,,,,,,,,,,,,,,,91,96,60,2,2,,4,,1,2,,,,1,,3,,2,,,3,4,3,,0,3,1,PostTest
3/13/2019 9:26,3/13/2019 9:27,0,50.91.173.65,100,33,1,3/13/2019 9:27,R_2f2HM187A4k0gRr,,,,,27.74560547,-82.75160217,anonymous,EN,0,0,3.652,0,2,3,3,2,2,2,3,3,3,1,50,25,50,50,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Control
3/13/2019 9:23,3/13/2019 9:27,0,75.97.100.198,100,238,1,3/13/2019 9:27,R_1dnyDFYhLzIME23,,,,,40.83250427,-75.70140076,anonymous,EN,0,0,80.415,0,,,,,,,,,,,,,,,,69,71,7,1,2,,,2,2,,1,,4,,,2,4,,,4,,4,,1,0,3,2,PostFeed
3/13/2019 9:25,3/13/2019 9:27,0,47.42.79.41,100,133,1,3/13/2019 9:27,R_2qsiCl17hvZAuIj,,,,,32.94749451,-96.44069672,anonymous,EN,0.319,11.391,13.289,2,,,,,,,,,,,,,,,,73,41,70,2,,,4,,4,3,3,2,,,3,2,,1,,,,,1,1,0,2,2,PostTest
3/13/2019 9:23,3/13/2019 9:27,0,50.192.47.17,100,225,1,3/13/2019 9:27,R_1ITA064zrX5ahtK,,,,,33.82310486,-84.32579803,anonymous,EN,0,0,59.698,0,3,2,2,2,1,2,1,4,3,2,20,3,32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Control
3/13/2019 9:24,3/13/2019 9:27,0,50.80.27.149,100,195,1,3/13/2019 9:27,R_33wFDZEVj2Zy22J,,,,,42.02279663,-91.65720367,anonymous,EN,44.302,44.302,83.036,1,,,,,,,,,,,,,,,,95,85,45,1,,3,,2,,4,3,,4,,3,,4,,2,,,2,,3,0,2,1,PreTest
3/13/2019 9:22,3/13/2019 9:27,0,162.202.52.30,100,312,1,3/13/2019 9:27,R_2qDCcNy1OPxthIf,,,,,41.7696991,-87.69850159,anonymous,EN,0,0,118.563,0,,,,,,,,,,,,,,,,50,100,40,1,,,1,2,,,2,2,2,,2,2,,,4,3,,,,2,0,4,3,PreTest
